Year, Month,MeanSeaLevel,Delta
1856,1,-0.25,0
1856,2,-0.247,0.003
1856,3,-0.345,-0.098
1856,4,-0.355,-0.01
1856,5,-0.324,0.031
1856,6,-0.462,-0.138
1856,7,-0.409,0.053
1856,8,-0.392,0.017
1856,9,-0.45,-0.058
1856,10,-0.459,-0.009
1856,11,-0.379,0.08
1856,12,-0.29,0.089
1857,1,-0.25,0.04
1857,2,-0.284,-0.034
1857,3,-0.302,-0.018
1857,4,-0.34,-0.038
1857,5,-0.293,0.047
1857,6,-0.319,-0.026
1857,7,-0.36,-0.041
1857,8,-0.356,0.004
1857,9,-0.383,-0.027
1857,10,-0.429,-0.046
1857,11,-0.339,0.09
1857,12,-0.275,0.064
1858,1,-0.229,0.046
1858,2,-0.272,-0.043
1858,3,-0.321,-0.049
1858,4,-0.38,-0.059
1858,5,-0.357,0.023
1858,6,-0.341,0.016
1858,7,-0.372,-0.031
1858,8,-0.444,-0.072
1858,9,-0.465,-0.021
1858,10,-0.508,-0.043
1858,11,-0.364,0.144
1858,12,-0.278,0.086
1859,1,-0.247,0.031
1859,2,-0.256,-0.009
1859,3,-0.296,-0.04
1859,4,-0.346,-0.05
1859,5,-0.308,0.038
1859,6,-0.371,-0.063
1859,7,-0.339,0.032
1859,8,-0.343,-0.004
1859,9,-0.401,-0.058
1859,10,-0.423,-0.022
1859,11,-0.355,0.068
1859,12,-0.239,0.116
1860,1,-0.244,-0.005
1860,2,-0.253,-0.009
1860,3,-0.327,-0.074
1860,4,-0.355,-0.028
1860,5,-0.342,0.013
1860,6,-0.337,0.005
1860,7,-0.381,-0.044
1860,8,-0.392,-0.011
1860,9,-0.438,-0.046
1860,10,-0.447,-0.009
1860,11,-0.397,0.05
1860,12,-0.297,0.1
1862,1,-0.296,0.001
1862,2,-0.305,-0.009
1862,3,-0.312,-0.007
1862,4,-0.343,-0.031
1862,5,-0.311,0.032
1862,6,-0.35,-0.039
1862,7,-0.336,0.014
1862,8,-0.395,-0.059
1862,9,-0.444,-0.049
1862,10,-0.49,-0.046
1862,11,-0.364,0.126
1862,12,-0.284,0.08
1863,1,-0.314,-0.03
1863,2,-0.348,-0.034
1863,3,-0.354,-0.006
1863,4,-0.325,0.029
1863,5,-0.299,0.026
1863,6,-0.371,-0.072
1863,7,-0.336,0.035
1863,8,-0.38,-0.044
1863,9,-0.38,0
1863,10,-0.319,0.061
1863,11,-0.388,-0.069
1863,12,-0.415,-0.027
1864,1,-0.5,-0.085
1864,2,-0.412,0.088
1864,3,-0.278,0.134
1864,4,-0.2,0.078
1864,5,-0.299,-0.099
1864,6,-0.441,-0.142
1864,7,-0.393,0.048
1864,8,-0.349,0.044
1864,9,-0.34,0.009
1864,10,-0.231,0.109
1864,11,-0.376,-0.145
1864,12,-0.351,0.025
1865,1,-0.397,-0.046
1865,2,-0.305,0.092
1865,3,-0.376,-0.071
1865,4,-0.413,-0.037
1865,5,-0.305,0.108
1865,6,-0.362,-0.057
1865,7,-0.546,-0.184
1865,8,-0.423,0.123
1865,9,-0.401,0.022
1865,10,-0.417,-0.016
1865,11,-0.361,0.056
1865,12,-0.333,0.028
1866,1,-0.348,-0.015
1866,2,-0.436,-0.088
1866,3,-0.473,-0.037
1866,4,-0.422,0.051
1866,5,-0.375,0.047
1866,6,-0.362,0.013
1866,7,-0.345,0.017
1866,8,-0.368,-0.023
1866,9,-0.38,-0.012
1866,10,-0.252,0.128
1866,11,-0.336,-0.084
1866,12,-0.4,-0.064
1867,1,-0.238,0.162
1867,2,-0.375,-0.137
1867,3,-0.241,0.134
1867,4,-0.392,-0.151
1867,5,-0.336,0.056
1867,6,-0.362,-0.026
1867,7,-0.204,0.158
1867,8,-0.374,-0.17
1867,9,-0.377,-0.003
1867,10,-0.343,0.034
1867,11,-0.388,-0.045
1867,12,-0.357,0.031
1868,1,-0.336,0.021
1868,2,-0.421,-0.085
1868,3,-0.397,0.024
1868,4,-0.304,0.093
1868,5,-0.113,0.191
1868,6,-0.31,-0.197
1868,7,-0.296,0.014
1868,8,-0.398,-0.102
1868,9,-0.298,0.1
1868,10,-0.328,-0.03
1868,11,-0.297,0.031
1868,12,-0.412,-0.115
1869,1,-0.314,0.098
1869,2,-0.369,-0.055
1869,3,-0.4,-0.031
1869,4,-0.374,0.026
1869,5,-0.308,0.066
1869,6,-0.392,-0.084
1869,7,-0.369,0.023
1869,8,-0.374,-0.005
1869,9,-0.371,0.003
1869,10,-0.343,0.028
1869,11,-0.367,-0.024
1869,12,-0.29,0.077
1870,1,-0.329,-0.039
1870,2,-0.217,0.112
1870,3,-0.193,0.024
1870,4,-0.179,0.014
1870,5,-0.278,-0.099
1870,6,-0.313,-0.035
1870,7,-0.311,0.002
1870,8,-0.307,0.004
1870,9,-0.316,-0.009
1870,10,-0.313,0.003
1870,11,-0.391,-0.078
1870,12,-0.351,0.04
1871,1,-0.354,-0.003
1871,2,-0.351,0.003
1871,3,-0.29,0.061
1871,4,-0.267,0.023
1871,5,-0.363,-0.096
1871,6,-0.328,0.035
1871,7,-0.332,-0.004
1871,8,-0.356,-0.024
1871,9,-0.352,0.004
1871,10,-0.435,-0.083
1871,11,-0.342,0.093
1871,12,-0.492,-0.15
1872,1,-0.366,0.126
1872,2,-0.284,0.082
1872,3,-0.403,-0.119
1872,4,-0.401,0.002
1872,5,-0.415,-0.014
1872,6,-0.344,0.071
1872,7,-0.339,0.005
1872,8,-0.362,-0.023
1872,9,-0.429,-0.067
1872,10,-0.319,0.11
1872,11,-0.336,-0.017
1872,12,-0.29,0.046
1873,1,-0.336,-0.046
1873,2,-0.32,0.016
1873,3,-0.434,-0.114
1873,4,-0.27,0.164
1873,5,-0.308,-0.038
1873,6,-0.359,-0.051
1873,7,-0.329,0.03
1873,8,-0.325,0.004
1873,9,-0.352,-0.027
1873,10,-0.304,0.048
1873,11,-0.406,-0.102
1873,12,-0.327,0.079
1874,1,-0.287,0.04
1874,2,-0.326,-0.039
1874,3,-0.446,-0.12
1874,4,-0.432,0.014
1874,5,-0.357,0.075
1874,6,-0.356,0.001
1874,7,-0.366,-0.01
1874,8,-0.346,0.02
1874,9,-0.337,0.009
1874,10,-0.447,-0.11
1874,11,-0.443,0.004
1874,12,-0.498,-0.055
1875,1,-0.323,0.175
1875,2,-0.455,-0.132
1875,3,-0.336,0.119
1875,4,-0.352,-0.016
1875,5,-0.424,-0.072
1875,6,-0.414,0.01
1875,7,-0.363,0.051
1875,8,-0.328,0.035
1875,9,-0.395,-0.067
1875,10,-0.368,0.027
1875,11,-0.37,-0.002
1875,12,-0.327,0.043
1876,1,-0.485,-0.158
1876,2,-0.384,0.101
1876,3,-0.33,0.054
1876,4,-0.328,0.002
1876,5,-0.378,-0.05
1876,6,-0.368,0.01
1876,7,-0.351,0.017
1876,8,-0.343,0.008
1876,9,-0.288,0.055
1876,10,-0.444,-0.156
1876,11,-0.159,0.285
1876,12,-0.324,-0.165
1877,1,-0.409,-0.085
1877,2,-0.339,0.07
1877,3,-0.339,0
1877,4,-0.27,0.069
1877,5,-0.314,-0.044
1877,6,-0.371,-0.057
1877,7,-0.329,0.042
1877,8,-0.27,0.059
1877,9,-0.325,-0.055
1877,10,-0.279,0.046
1877,11,-0.23,0.049
1877,12,-0.303,-0.073
1878,1,-0.278,0.025
1878,2,-0.134,0.144
1878,3,-0.254,-0.12
1878,4,-0.218,0.036
1878,5,-0.244,-0.026
1878,6,-0.283,-0.039
1878,7,-0.314,-0.031
1878,8,-0.276,0.038
1878,9,-0.307,-0.031
1878,10,-0.316,-0.009
1878,11,-0.361,-0.045
1878,12,-0.233,0.128
1893,1,-0.256,-0.023
1893,2,-0.372,-0.116
1893,3,-0.275,0.097
1893,4,-0.258,0.017
1893,5,-0.263,-0.005
1893,6,-0.237,0.026
1893,7,-0.305,-0.068
1893,8,-0.246,0.059
1893,9,-0.307,-0.061
1893,10,-0.258,0.049
1893,11,-0.272,-0.014
1893,12,-0.357,-0.085
1894,1,-0.183,0.174
1894,2,-0.266,-0.083
1894,3,-0.281,-0.015
1894,4,-0.182,0.099
1894,5,-0.244,-0.062
1894,6,-0.319,-0.075
1894,7,-0.308,0.011
1894,8,-0.295,0.013
1894,9,-0.279,0.016
1894,10,-0.273,0.006
1894,11,-0.388,-0.115
1894,12,-0.242,0.146
1895,1,-0.311,-0.069
1895,2,-0.384,-0.073
1895,3,-0.382,0.002
1895,4,-0.27,0.112
1895,5,-0.314,-0.044
1895,6,-0.258,0.056
1895,7,-0.256,0.002
1895,8,-0.307,-0.051
1895,9,-0.291,0.016
1895,10,-0.313,-0.022
1895,11,-0.284,0.029
1895,12,-0.178,0.106
1896,1,-0.198,-0.02
1896,2,-0.311,-0.113
1896,3,-0.43,-0.119
1896,4,-0.31,0.12
1896,5,-0.253,0.057
1896,6,-0.277,-0.024
1896,7,-0.308,-0.031
1896,8,-0.282,0.026
1896,9,-0.264,0.018
1896,10,-0.185,0.079
1896,11,-0.254,-0.069
1896,12,-0.181,0.073
1897,1,-0.302,-0.121
1897,2,-0.147,0.155
1897,3,-0.284,-0.137
1897,4,-0.34,-0.056
1897,5,-0.269,0.071
1897,6,-0.237,0.032
1897,7,-0.192,0.045
1897,8,-0.215,-0.023
1897,9,-0.249,-0.034
1897,10,-0.164,0.085
1897,11,-0.315,-0.151
1897,12,-0.272,0.043
1898,1,-0.241,0.031
1898,2,-0.232,0.009
1898,3,-0.266,-0.034
1898,4,-0.194,0.072
1898,5,-0.171,0.023
1898,6,-0.243,-0.072
1898,7,-0.238,0.005
1898,8,-0.276,-0.038
1898,9,-0.276,0
1898,10,-0.225,0.051
1898,11,-0.245,-0.02
1898,12,-0.315,-0.07
1899,1,-0.311,0.004
1899,2,-0.25,0.061
1899,3,-0.202,0.048
1899,4,-0.258,-0.056
1899,5,-0.211,0.047
1899,6,-0.283,-0.072
1899,7,-0.287,-0.004
1899,8,-0.209,0.078
1899,9,-0.243,-0.034
1899,10,-0.273,-0.03
1899,11,-0.184,0.089
1899,12,-0.245,-0.061
1900,1,-0.372,-0.127
1900,2,-0.339,0.033
1900,3,-0.336,0.003
1900,4,-0.325,0.011
1900,5,-0.266,0.059
1900,6,-0.246,0.02
1900,7,-0.275,-0.029
1900,8,-0.24,0.035
1900,9,-0.267,-0.027
1900,10,-0.246,0.021
1900,11,-0.284,-0.038
1900,12,-0.254,0.03
1901,1,-0.195,0.059
1901,2,-0.43,-0.235
1901,3,-0.278,0.152
1901,4,-0.09,0.188
1901,5,-0.159,-0.069
1901,6,-0.206,-0.047
1901,7,-0.198,0.008
1901,8,-0.191,0.007
1901,9,-0.176,0.015
1901,10,-0.295,-0.119
1901,11,-0.217,0.078
1901,12,-0.196,0.021
1902,1,-0.25,-0.054
1902,2,-0.208,0.042
1902,3,-0.165,0.043
1902,4,-0.227,-0.062
1902,5,-0.284,-0.057
1902,6,-0.258,0.026
1902,7,-0.208,0.05
1902,8,-0.209,-0.001
1902,9,-0.191,0.018
1902,10,-0.191,0
1902,11,-0.135,0.056
1902,12,-0.156,-0.021
1903,1,-0.29,-0.134
1903,2,-0.357,-0.067
1903,3,-0.229,0.128
1903,4,-0.133,0.096
1903,5,-0.244,-0.111
1903,6,-0.115,0.129
1903,7,-0.217,-0.102
1903,8,-0.188,0.029
1903,9,-0.243,-0.055
1903,10,-0.124,0.119
1903,11,-0.251,-0.127
1903,12,-0.336,-0.085
1904,1,-0.262,0.074
1904,2,-0.366,-0.104
1904,3,-0.287,0.079
1904,4,-0.282,0.005
1904,5,-0.269,0.013
1904,6,-0.225,0.044
1904,7,-0.25,-0.025
1904,8,-0.292,-0.042
1904,9,-0.279,0.013
1904,10,-0.289,-0.01
1904,11,-0.236,0.053
1904,12,-0.251,-0.015
1905,1,-0.256,-0.005
1905,2,-0.366,-0.11
1905,3,-0.309,0.057
1905,4,-0.304,0.005
1905,5,-0.327,-0.023
1905,6,-0.273,0.054
1905,7,-0.265,0.008
1905,8,-0.234,0.031
1905,9,-0.27,-0.036
1905,10,-0.298,-0.028
1905,11,-0.309,-0.011
1905,12,-0.223,0.086
1906,1,-0.183,0.04
1906,2,-0.275,-0.092
1906,3,-0.354,-0.079
1906,4,-0.267,0.087
1906,5,-0.293,-0.026
1906,6,-0.219,0.074
1906,7,-0.208,0.011
1906,8,-0.215,-0.007
1906,9,-0.252,-0.037
1906,10,-0.2,0.052
1906,11,-0.275,-0.075
1906,12,-0.287,-0.012
1907,1,-0.278,0.009
1907,2,-0.317,-0.039
1907,3,-0.272,0.045
1907,4,-0.267,0.005
1907,5,-0.29,-0.023
1907,6,-0.225,0.065
1907,7,-0.256,-0.031
1907,8,-0.276,-0.02
1907,9,-0.298,-0.022
1907,10,-0.313,-0.015
1907,11,-0.211,0.102
1907,12,-0.211,0
1908,1,-0.275,-0.064
1908,2,-0.323,-0.048
1908,3,-0.312,0.011
1908,4,-0.383,-0.071
1908,5,-0.26,0.123
1908,6,-0.27,-0.01
1908,7,-0.262,0.008
1908,8,-0.173,0.089
1908,9,-0.227,-0.054
1908,10,-0.182,0.045
1908,11,-0.358,-0.176
1908,12,-0.29,0.068
1909,1,-0.22,0.07
1909,2,-0.256,-0.036
1909,3,-0.278,-0.022
1909,4,-0.313,-0.035
1909,5,-0.177,0.136
1909,6,-0.24,-0.063
1909,7,-0.244,-0.004
1909,8,-0.188,0.056
1909,9,-0.221,-0.033
1909,10,-0.307,-0.086
1909,11,-0.223,0.084
1909,12,-0.169,0.054
1910,1,-0.174,-0.005
1910,2,-0.25,-0.076
1910,3,-0.226,0.024
1910,4,-0.157,0.069
1910,5,-0.232,-0.075
1910,6,-0.2,0.032
1910,7,-0.211,-0.011
1910,8,-0.27,-0.059
1910,9,-0.212,0.058
1910,10,-0.255,-0.043
1910,11,-0.196,0.059
1910,12,-0.217,-0.021
1911,1,-0.275,-0.058
1911,2,-0.162,0.113
1911,3,-0.296,-0.134
1911,4,-0.243,0.053
1911,5,-0.256,-0.013
1911,6,-0.197,0.059
1911,7,-0.272,-0.075
1911,8,-0.243,0.029
1911,9,-0.17,0.073
1911,10,-0.158,0.012
1911,11,-0.309,-0.151
1911,12,-0.233,0.076
1912,1,-0.342,-0.109
1912,2,-0.314,0.028
1912,3,-0.293,0.021
1912,4,-0.31,-0.017
1912,5,-0.269,0.041
1912,6,-0.307,-0.038
1912,7,-0.302,0.005
1912,8,-0.264,0.038
1912,9,-0.203,0.061
1912,10,-0.261,-0.058
1912,11,-0.263,-0.002
1912,12,-0.327,-0.064
1913,1,-0.275,0.052
1913,2,-0.33,-0.055
1913,3,-0.409,-0.079
1913,4,-0.273,0.136
1913,5,-0.263,0.01
1913,6,-0.277,-0.014
1913,7,-0.287,-0.01
1913,8,-0.24,0.047
1913,9,-0.261,-0.021
1913,10,-0.161,0.1
1913,11,-0.239,-0.078
1913,12,-0.251,-0.012
1914,1,-0.125,0.126
1914,2,-0.293,-0.168
1914,3,-0.248,0.045
1914,4,-0.246,0.002
1914,5,-0.229,0.017
1914,6,-0.264,-0.035
1914,7,-0.214,0.05
1914,8,-0.261,-0.047
1914,9,-0.252,0.009
1914,10,-0.212,0.04
1914,11,-0.294,-0.082
1914,12,-0.172,0.122
1915,1,-0.165,0.007
1915,2,-0.144,0.021
1915,3,-0.223,-0.079
1915,4,-0.301,-0.078
1915,5,-0.253,0.048
1915,6,-0.225,0.028
1915,7,-0.198,0.027
1915,8,-0.17,0.028
1915,9,-0.27,-0.1
1915,10,-0.212,0.058
1915,11,-0.227,-0.015
1915,12,-0.242,-0.015
1916,1,-0.25,-0.008
1916,2,-0.241,0.009
1916,3,-0.217,0.024
1916,4,-0.145,0.072
1916,5,-0.22,-0.075
1916,6,-0.158,0.062
1916,7,-0.256,-0.098
1916,8,-0.215,0.041
1916,9,-0.234,-0.019
1916,10,-0.249,-0.015
1916,11,-0.245,0.004
1916,12,-0.339,-0.094
1917,1,-0.278,0.061
1917,2,-0.272,0.006
1917,3,-0.208,0.064
1917,4,-0.246,-0.038
1917,5,-0.144,0.102
1917,6,-0.219,-0.075
1917,7,-0.198,0.021
1917,8,-0.206,-0.008
1917,9,-0.227,-0.021
1917,10,-0.219,0.008
1917,11,-0.22,-0.001
1917,12,-0.226,-0.006
1918,1,-0.177,0.049
1918,2,-0.202,-0.025
1918,3,-0.181,0.021
1918,4,-0.169,0.012
1918,5,-0.339,-0.17
1918,6,-0.234,0.105
1918,7,-0.226,0.008
1918,8,-0.243,-0.017
1918,9,-0.282,-0.039
1918,10,-0.301,-0.019
1918,11,-0.236,0.065
1918,12,-0.126,0.11
1919,1,-0.238,-0.112
1919,2,-0.186,0.052
1919,3,-0.181,0.005
1919,4,-0.218,-0.037
1919,5,-0.141,0.077
1919,6,-0.164,-0.023
1919,7,-0.198,-0.034
1919,8,-0.139,0.059
1919,9,-0.197,-0.058
1919,10,-0.158,0.039
1919,11,-0.089,0.069
1919,12,-0.202,-0.113
1920,6,-0.152,0.05
1920,7,-0.211,-0.059
1920,8,-0.182,0.029
1920,9,-0.197,-0.015
1920,10,-0.185,0.012
1920,11,-0.159,0.026
1920,12,-0.126,0.033
1921,1,-0.198,-0.072
1921,2,-0.074,0.124
1921,3,-0.199,-0.125
1921,4,-0.154,0.045
1921,5,-0.064,0.09
1921,6,-0.173,-0.109
1921,7,-0.171,0.002
1921,8,-0.225,-0.054
1921,9,-0.197,0.028
1921,10,-0.276,-0.079
1921,11,-0.144,0.132
1921,12,-0.208,-0.064
1922,1,-0.269,-0.061
1922,2,-0.202,0.067
1922,3,-0.214,-0.012
1922,4,-0.24,-0.026
1922,5,-0.223,0.017
1922,6,-0.209,0.014
1922,7,-0.198,0.011
1922,8,-0.221,-0.023
1922,9,-0.212,0.009
1922,10,-0.222,-0.01
1922,11,-0.22,0.002
1922,12,-0.187,0.033
1923,1,-0.165,0.022
1923,2,-0.22,-0.055
1923,3,-0.235,-0.015
1923,4,-0.209,0.026
1923,5,-0.235,-0.026
1923,6,-0.231,0.004
1923,7,-0.217,0.014
1923,8,-0.234,-0.017
1923,9,-0.249,-0.015
1923,10,-0.206,0.043
1923,11,-0.135,0.071
1923,12,-0.199,-0.064
1924,1,-0.29,-0.091
1924,2,-0.11,0.18
1924,3,-0.068,0.042
1924,4,-0.203,-0.135
1924,5,-0.144,0.059
1924,6,-0.203,-0.059
1924,7,-0.232,-0.029
1924,8,-0.197,0.035
1924,9,-0.224,-0.027
1924,10,-0.225,-0.001
1924,11,-0.236,-0.011
1924,12,-0.315,-0.079
1925,1,-0.113,0.202
1925,2,-0.195,-0.082
1925,3,-0.278,-0.083
1925,4,-0.224,0.054
1925,5,-0.235,-0.011
1925,6,-0.246,-0.011
1925,7,-0.223,0.023
1925,8,-0.24,-0.017
1925,9,-0.2,0.04
1925,10,-0.289,-0.089
1925,11,-0.26,0.029
1925,12,-0.257,0.003
1926,1,-0.302,-0.045
1926,2,-0.168,0.134
1926,3,-0.305,-0.137
1926,4,-0.285,0.02
1926,5,-0.247,0.038
1926,6,-0.246,0.001
1926,7,-0.226,0.02
1926,8,-0.17,0.056
1926,9,-0.176,-0.006
1926,10,-0.209,-0.033
1926,11,-0.266,-0.057
1926,12,-0.196,0.07
1927,1,-0.29,-0.094
1927,2,-0.119,0.171
1927,3,-0.159,-0.04
1927,4,-0.237,-0.078
1927,5,-0.199,0.038
1927,6,-0.209,-0.01
1927,7,-0.235,-0.026
1927,8,-0.164,0.071
1927,9,-0.218,-0.054
1927,10,-0.191,0.027
1927,11,-0.199,-0.008
1927,12,-0.15,0.049
1928,1,-0.314,-0.164
1928,2,-0.253,0.061
1928,3,-0.248,0.005
1928,4,-0.285,-0.037
1928,5,-0.217,0.068
1928,6,-0.2,0.017
1928,7,-0.201,-0.001
1928,8,-0.17,0.031
1928,9,-0.176,-0.006
1928,10,-0.289,-0.113
1928,11,-0.3,-0.011
1928,12,-0.287,0.013
1929,1,-0.372,-0.085
1929,2,-0.159,0.213
1929,3,-0.214,-0.055
1929,4,-0.112,0.102
1929,5,-0.296,-0.184
1929,6,-0.188,0.108
1929,7,-0.238,-0.05
1929,8,-0.234,0.004
1929,9,-0.209,0.025
1929,10,-0.276,-0.067
1929,11,-0.227,0.049
1929,12,-0.229,-0.002
1930,1,-0.217,0.012
1930,2,-0.208,0.009
1930,3,-0.272,-0.064
1930,4,-0.313,-0.041
1930,5,-0.275,0.038
1930,6,-0.289,-0.014
1930,7,-0.232,0.057
1930,8,-0.203,0.029
1930,9,-0.23,-0.027
1930,10,-0.164,0.066
1930,11,-0.3,-0.136
1930,12,-0.196,0.104
1931,1,-0.235,-0.039
1931,2,-0.211,0.024
1931,3,-0.037,0.174
1931,4,-0.237,-0.2
1931,5,-0.22,0.017
1931,6,-0.17,0.05
1931,7,-0.15,0.02
1931,8,-0.157,-0.007
1931,9,-0.197,-0.04
1931,10,-0.222,-0.025
1931,11,-0.269,-0.047
1931,12,-0.251,0.018
1932,1,-0.122,0.129
1932,2,-0.144,-0.022
1932,3,-0.287,-0.143
1932,4,-0.249,0.038
1932,5,-0.266,-0.017
1932,6,-0.216,0.05
1932,7,-0.195,0.021
1932,8,-0.215,-0.02
1932,9,-0.173,0.042
1932,10,-0.252,-0.079
1932,11,-0.089,0.163
1932,12,-0.181,-0.092
1933,1,-0.08,0.101
1933,2,-0.256,-0.176
1933,3,-0.211,0.045
1933,4,-0.136,0.075
1933,5,-0.168,-0.032
1933,6,-0.161,0.007
1933,7,-0.137,0.024
1933,8,-0.124,0.013
1933,9,-0.124,0
1933,10,-0.176,-0.052
1933,11,-0.251,-0.075
1933,12,-0.217,0.034
1934,1,-0.211,0.006
1934,2,-0.302,-0.091
1934,3,-0.245,0.057
1934,4,-0.176,0.069
1934,5,-0.241,-0.065
1934,6,-0.185,0.056
1934,7,-0.189,-0.004
1934,8,-0.206,-0.017
1934,9,-0.157,0.049
1934,10,-0.194,-0.037
1934,11,-0.227,-0.033
1934,12,-0.248,-0.021
1935,1,-0.205,0.043
1935,2,-0.235,-0.03
1935,3,-0.205,0.03
1935,4,-0.118,0.087
1935,5,-0.232,-0.114
1935,6,-0.155,0.077
1935,7,-0.174,-0.019
1935,8,-0.17,0.004
1935,9,-0.191,-0.021
1935,10,-0.215,-0.024
1935,11,-0.013,0.202
1935,12,-0.159,-0.146
1936,1,-0.229,-0.07
1936,2,-0.186,0.043
1936,3,-0.083,0.103
1936,4,-0.227,-0.144
1936,5,-0.263,-0.036
1936,6,-0.182,0.081
1936,7,-0.134,0.048
1936,8,-0.2,-0.066
1936,9,-0.179,0.021
1936,10,-0.191,-0.012
1936,11,-0.275,-0.084
1936,12,-0.187,0.088
1937,1,-0.113,0.074
1937,2,-0.049,0.064
1937,3,-0.251,-0.202
1937,4,-0.121,0.13
1937,5,-0.168,-0.047
1937,6,-0.164,0.004
1937,7,-0.137,0.027
1937,8,-0.209,-0.072
1937,9,-0.17,0.039
1937,10,-0.182,-0.012
1937,11,-0.181,0.001
1937,12,-0.165,0.016
1938,1,-0.064,0.101
1938,2,-0.098,-0.034
1938,3,-0.132,-0.034
1938,4,-0.194,-0.062
1938,5,-0.162,0.032
1938,6,-0.179,-0.017
1938,7,-0.189,-0.01
1938,8,-0.176,0.013
1938,9,-0.16,0.016
1938,10,-0.078,0.082
1938,11,-0.166,-0.088
1938,12,-0.129,0.037
1939,1,-0.153,-0.024
1939,2,-0.134,0.019
1939,3,-0.126,0.008
1939,4,-0.148,-0.022
1939,5,-0.119,0.029
1939,6,-0.127,-0.008
1939,7,-0.14,-0.013
1939,8,-0.103,0.037
1939,9,-0.136,-0.033
1939,10,-0.17,-0.034
1939,11,-0.163,0.007
1939,12,-0.202,-0.039
1940,1,-0.211,-0.009
1940,2,-0.028,0.183
1940,3,-0.202,-0.174
1940,4,-0.142,0.06
1940,5,-0.074,0.068
1940,6,-0.127,-0.053
1940,7,-0.168,-0.041
1940,8,-0.148,0.02
1940,9,-0.148,0
1940,10,-0.139,0.009
1940,11,-0.202,-0.063
1940,12,-0.129,0.073
1941,1,-0.064,0.065
1941,2,-0.177,-0.113
1941,3,-0.241,-0.064
1941,4,-0.13,0.111
1941,5,-0.18,-0.05
1941,6,-0.139,0.041
1941,7,-0.147,-0.008
1941,8,-0.173,-0.026
1941,9,-0.194,-0.021
1941,10,-0.212,-0.018
1941,11,-0.196,0.016
1941,12,-0.159,0.037
1942,1,-0.141,0.018
1942,2,-0.195,-0.054
1942,3,-0.08,0.115
1942,4,-0.136,-0.056
1942,5,-0.147,-0.011
1942,6,-0.1,0.047
1942,7,-0.116,-0.016
1942,8,-0.13,-0.014
1942,9,-0.09,0.04
1942,10,-0.1,-0.01
1942,11,-0.144,-0.044
1942,12,-0.187,-0.043
1943,1,-0.131,0.056
1943,2,-0.18,-0.049
1943,3,-0.162,0.018
1943,4,-0.206,-0.044
1943,5,-0.168,0.038
1943,6,-0.142,0.026
1943,7,-0.134,0.008
1943,8,-0.115,0.019
1943,9,-0.115,0
1943,10,-0.081,0.034
1943,11,-0.138,-0.057
1943,12,-0.251,-0.113
1944,1,-0.134,0.117
1944,2,-0.171,-0.037
1944,3,-0.129,0.042
1944,4,-0.139,-0.01
1944,5,-0.174,-0.035
1944,6,-0.115,0.059
1944,7,-0.125,-0.01
1944,8,-0.148,-0.023
1944,9,-0.148,0
1944,10,-0.13,0.018
1944,11,0.011,0.141
1944,12,-0.208,-0.219
1945,1,-0.198,0.01
1945,2,-0.159,0.039
1945,3,-0.074,0.085
1945,4,-0.16,-0.086
1945,5,-0.074,0.086
1945,6,-0.109,-0.035
1945,7,-0.095,0.014
1945,8,-0.118,-0.023
1945,9,-0.099,0.019
1945,10,-0.133,-0.034
1945,11,-0.022,0.111
1945,12,-0.001,0.021
1946,1,-0.125,-0.124
1946,2,-0.159,-0.034
1946,3,-0.071,0.088
1946,4,-0.121,-0.05
1946,5,-0.11,0.011
1946,6,-0.136,-0.026
1946,7,-0.122,0.014
1946,8,-0.084,0.038
1946,9,-0.109,-0.025
1946,10,-0.097,0.012
1946,11,-0.117,-0.02
1946,12,-0.187,-0.07
1947,1,-0.131,0.056
