Year,Means
1880,-0.1875
1881,-0.100833333
1882,-0.11
1883,-0.191666667
1884,-0.294166667
1885,-0.315
1886,-0.323333333
1887,-0.351666667
1888,-0.179166667
1889,-0.108333333
1890,-0.370833333
1891,-0.236666667
1892,-0.268333333
1893,-0.32
1894,-0.315
1895,-0.2275
1896,-0.1175
1897,-0.119166667
1898,-0.281666667
1899,-0.1825
1900,-0.091666667
1901,-0.156666667
1902,-0.2975
1903,-0.389166667
1904,-0.494166667
1905,-0.289166667
1906,-0.225
1907,-0.396666667
1908,-0.435833333
1909,-0.475
1910,-0.4325
1911,-0.433333333
1912,-0.3575
1913,-0.356666667
1914,-0.156666667
1915,-0.126666667
1916,-0.333333333
1917,-0.440833333
1918,-0.288333333
1919,-0.274166667
1920,-0.265
1921,-0.183333333
1922,-0.2775
1923,-0.250833333
1924,-0.259166667
1925,-0.208333333
1926,-0.095833333
1927,-0.208333333
1928,-0.196666667
1929,-0.350833333
1930,-0.149166667
1931,-0.100833333
1932,-0.165
1933,-0.295
1934,-0.135833333
1935,-0.204166667
1936,-0.1575
1937,-0.035833333
1938,-0.030833333
1939,-0.026666667
1940,0.1175
1941,0.183333333
1942,0.055
1943,0.070833333
1944,0.208333333
1945,0.0875
1946,-0.07
1947,-0.038333333
1948,-0.1025
1949,-0.106666667
1950,-0.181666667
1951,-0.066666667
1952,0.0075
1953,0.068333333
1954,-0.1475
1955,-0.143333333
1956,-0.205
1957,0.0425
1958,0.069166667
1959,0.028333333
1960,-0.021666667
1961,0.055833333
1962,0.038333333
1963,0.069166667
1964,-0.1975
1965,-0.105833333
1966,-0.049166667
1967,-0.023333333
1968,-0.076666667
1969,0.0675
1970,0.031666667
1971,-0.090833333
1972,0.013333333
1973,0.161666667
1974,-0.079166667
1975,-0.013333333
1976,-0.1075
1977,0.170833333
1978,0.064166667
1979,0.158333333
1980,0.270833333
1981,0.330833333
1982,0.1325
1983,0.315
1984,0.160833333
1985,0.118333333
1986,0.18
1987,0.3325
1988,0.4075
1989,0.289166667
1990,0.440833333
1991,0.414166667
1992,0.223333333
1993,0.238333333
1994,0.3075
1995,0.445
1996,0.335
1997,0.468333333
1998,0.6225
1999,0.396666667
2000,0.399166667
2001,0.529166667
2002,0.620833333
2003,0.605
2004,0.531666667
2005,0.666666667
2006,0.616666667
2007,0.6375
2008,0.515833333
2009,0.631666667
2010,0.696666667
2011,0.5825
2012,0.6175
2013,0.646666667
2014,0.731666667
2015,0.865833333
2016,0.991666667
2017,0.9025
2018,0.823333333
2019,0.925714286